L,T,β,mu,md,mπ^A,Δmπ^A,mπ^C,Δmπ^C,mρ^M,Δmρ^M,mρ^N,Δmρ^N,fπ^A,Δfπ^A,fπ^C,Δfπ^C,fρ^M,Δfρ^M,fρ^N,Δfρ^N,P,ΔP
10,20,7.05,-0.835,-0.8,0.547736089936191,0.018182504010688,0.565802897535296,0.013445419576397,0.702853854315265,0.013763322104962,0.707311128667206,0.00690705294955,0.090778472038054,0.002934439362545,0.091582678612936,0.003153763753171,0.180044011714772,0.003057107627168,0.183158689816025,0.002367055940345,0.573420452,0.000234487751849
10,20,7.05,-0.835,-0.82,0.534641434652466,0.011694694622934,0.535296977835353,0.012046654879104,0.68780770134215,0.010057672342352,0.690350004337426,0.006325353066283,0.092794923025204,0.003487780708868,0.08661411777305,0.002848344989752,0.186258867201874,0.003518639845213,0.183089456613689,0.002323891490965,0.57411195,0.000499235157949
10,20,7.05,-0.835,-0.83,0.501681782905848,0.015123315642786,0.443323681416607,0.011714370701494,0.664869317796211,0.011761009047933,0.655931227353397,0.010753391201585,0.080498652339258,0.003734065138418,0.073604579799364,0.00293705967706,0.173232518977483,0.003287411835932,0.17427449005004,0.002821058874181,0.575093408,0.000210465429721
12,24,7.05,-0.835,-0.7,0.75465660026733,0.006764252657376,0.645995008686394,0.0072758099958,0.828263672352634,0.004534151639751,0.758990062411665,0.004676172742224,0.117944701057635,0.003818593834299,0.09470853911468,0.00252524802235,0.185211933429886,0.003628954745328,0.167442257997307,0.002135866503309,0.56770238,0.000163498798098
12,24,7.05,-0.835,-0.75,0.657176294775687,0.008136513345475,0.611327992248692,0.006075859843896,0.760049848911456,0.005355962122471,0.714367269442826,0.006082782624448,0.105328804396681,0.00372271491023,0.096276047114147,0.002413377492261,0.18061078500791,0.003411854068363,0.167563758518592,0.002497096916672,0.570099942,0.000165712288147
12,24,7.05,-0.835,-0.8,0.534962587846125,0.009698789525445,0.529780409703586,0.00743734179771,0.653105660786783,0.005979585406468,0.646019574274435,0.005770517113478,0.087687713660735,0.003580367071219,0.0893917533147,0.00296097832702,0.161771252265861,0.003317778121192,0.162441023144462,0.002746338618436,0.57327537,0.00017004992051
12,24,7.05,-0.835,-0.82,0.511205898186808,0.011800135217182,0.47782215991082,0.008351389631483,0.635152538995927,0.007119450466308,0.618702882042322,0.00604691073164,0.087652318045812,0.004219181286192,0.079724337380084,0.002934832760912,0.165566059874013,0.004783835119547,0.157052974416726,0.003051442062227,0.574354538,0.000167615113482
12,24,7.05,-0.835,-0.83,0.455050369212175,0.011781574851042,0.477722576846775,0.010398003916971,0.603958129266865,0.008450911209206,0.602346497777672,0.008242325100287,0.077910729652202,0.004417371544261,0.082772028998523,0.003061961135127,0.158147747941345,0.004210617535982,0.156816844102018,0.003582702467871,0.575097318,0.00015320728318
10,20,7.2,-0.78,-0.65,0.680021555191453,0.009365296852866,0.621020637444279,0.011731341868841,0.774971929619719,0.007603358554529,0.733768074692264,0.008712651025548,0.09826713754042,0.002945432997503,0.088810072441474,0.001920793290098,0.176179500792393,0.002614522289469,0.168062567880678,0.002323632162363,0.584935882,0.00018698939591
10,20,7.2,-0.78,-0.7,0.613677170824334,0.011460742153627,0.575252907659047,0.016577350436648,0.729828871498527,0.005706908633808,0.72052795549163,0.010664831393465,0.084478413752747,0.003425495853054,0.082430163011202,0.002300462849618,0.172907119656306,0.002697185085832,0.170136699660355,0.002992201634196,0.586616818,0.000178542513805
10,20,7.2,-0.78,-0.75,0.538151486438045,0.021571398938527,0.526216632025896,0.024626764214485,0.686418930834678,0.010947101061239,0.683735662630841,0.016126198093956,0.067613970598443,0.005176946573578,0.067299040074423,0.004779250966463,0.16785610932029,0.002892308632876,0.164566845734208,0.005613381321828,0.588328398,0.0002011648224
10,20,7.2,-0.78,-0.77,0.521312635111249,0.03934532805005,0.503643543253624,0.038575300298965,0.710476828782258,0.013548089103202,0.712481049944583,0.012740750191214,0.053649923367565,0.00508174480592,0.054006040547076,0.005556066732131,0.166044770061696,0.004618723548356,0.169147103558745,0.004166650731154,0.589317558119658,0.000128291441981
12,24,7.2,-0.78,-0.65,0.649122874630581,0.005655998788715,0.546262444951785,0.008512365827155,0.720005977478607,0.005187425826005,0.644075284029954,0.005539288587948,0.097986767105486,0.002744348222052,0.076060591306565,0.002200500696632,0.155558738783065,0.002669856138779,0.13553952467679,0.002129041515955,0.584803806666667,0.000130926004541
12,24,7.2,-0.78,-0.7,0.562728660694029,0.006160218614541,0.524068447118583,0.009349688987308,0.653710235478289,0.00511826281093,0.629617696881161,0.005459683148901,0.084833127911213,0.002520341351132,0.0753815588584,0.002124037054826,0.14676412282989,0.002753743020472,0.139072418797025,0.002069133497522,0.586389233333333,0.000129658523207
